Zipcode,White,African_American,Asian,American_Indian,Biracial_Multiracial,Hispanic_Latino,Average_Income,Count_Zip,Less_HS,HS_Graduate,Tech_Trade,Some_College,College_Graduate,Post_Graduate,Lat,Lng,Child_BMI
19104,5,12,0,0,1,0,"$41,900- $47,800",18,2,5,0,4,4,2,39.95852,-75.198857,23.913
19111,45,14,0,0,2,2,"$55,400 - $60,000",65,2,14,4,9,24,12,40.060612,-75.080176,19.073
19114,32,0,0,0,2,1,"$60,000 - $63,900",35,2,10,0,10,10,3,40.069399,-75.000162,19.829
19116,22,0,2,0,4,1,"$60,000 - $63,900",30,0,7,1,9,5,8,40.115569,-75.013276,20.177
19115,17,2,2,1,1,0,"$63,900 - $72,000",24,1,4,1,4,12,2,40.090698,-75.042868,22.908
19132,0,13,0,0,0,0,"$20,000 - $23,750",13,1,6,1,3,1,0,39.996262,-75.170855,21.083
19121,0,19,0,0,2,0,"$20,000 - $23,750",21,5,5,1,9,1,0,39.98198,-75.17912,24.519
19139,1,25,0,1,4,0,"$23,750 - $28,000",31,2,13,1,6,6,3,39.961352,-75.229334,22.298
19131,0,16,0,0,5,1,"$28,000 - $29,750",22,2,4,2,6,5,3,39.990184,-75.217795,22.289
19134,22,5,0,1,6,11,"$28,000 - $29,750",45,8,18,0,9,8,2,39.989604,-75.109091,25.098
19122,0,8,0,0,1,3,"$28,000 - $29,750",12,0,5,1,3,2,1,39.977746,-75.145899,23.581
19142,2,20,2,0,5,0,"$29,750 - $31,900",30,1,11,1,10,4,3,39.921752,-75.233279,25.349
19137,6,1,0,0,1,0,"$29,750 - $31,900",8,0,5,0,0,2,1,39.993096,-75.071978,20.225
19124,9,18,0,0,6,8,"$31,900 - $36,000",42,2,21,5,8,2,3,40.017119,-75.092814,23.932
19120,5,32,2,0,3,5,"$36,000 - $40,000",50,3,16,4,11,9,6,40.034147,-75.119198,24.225
19141,0,14,0,1,2,1,"$36,000 - $40,000",19,0,8,1,7,1,2,40.037574,-75.145697,23.402
19151,1,27,0,1,5,0,"$36,000 - $40,000",34,2,6,2,7,12,5,39.979570,-75.257036,21.804
19145,12,12,0,0,5,0,"$36,000 - $40,000",29,2,7,0,13,5,2,39.909857,-75.198265,21.652
19143,6,33,0,0,1,0,"$36,000 - $40,000",42,4,9,0,14,7,8,39.942579,-75.225905,22.305
19138,0,28,0,0,3,0,"$40,000 - $41,900",31,2,7,0,11,8,3,40.056002,-75.159048,21.908
19144,10,31,0,0,8,0,"$40,000 - $41,900",50,1,12,1,11,9,16,40.033858,-75.174075,20.462
19148,25,3,0,0,1,2,"$40,000 - $41,900",31,2,14,0,7,4,4,39.911612,-75.151475,21.717
19135,24,4,0,0,3,3,"$40,000 - $41,900",34,0,18,2,5,8,0,40.02211,-75.048534,21.628
19149,24,12,2,0,6,4,"$41,900 - $47,800",48,5,15,3,13,9,2,40.037722,-75.065768,21.081
19125,16,2,0,0,1,1,"$41,900 - $47,800",20,2,7,0,3,7,1,39.976249,-75.125105,25.044
19146,11,11,0,0,5,0,"$41,900 - $47,800",27,0,6,0,6,9,6,39.939496,-75.184146,21.685
19153,2,10,0,0,1,1,"$47,800 - $55,400",14,1,3,0,3,5,2,39.893446,-75.229648,22.826
19136,31,1,0,0,2,1,"$47,800 - $55,400",35,0,15,4,6,5,5,40.039406,-75.018555,23.075
19150,0,21,0,0,3,1,"$55,400 - $60,000",25,0,2,0,10,9,4,40.072495,-75.171824,20.012
19126,1,8,0,0,2,0,"$55,400 - $60,000",11,0,0,0,2,5,4,40.05539,-75.13756,25.152
19123,3,6,0,0,2,0,"$55,400 - $60,000",11,0,3,0,3,3,2,39.964489,-75.145802,23.501
19130,13,3,1,0,1,0,"$55,400 - $60,000",18,1,0,0,2,7,8,39.967935,-75.176073,18.941
19128,21,1,2,0,3,1,"$63,900 - $72,000",31,0,8,0,2,12,9,40.048483,-75.227934,19.019
19154,39,3,1,0,1,2,"$63,900 - $72,000",46,1,12,1,9,15,8,40.096483,-74.983217,20.331
19119,17,18,0,0,3,0,"$63,900 - $72,000",38,0,3,0,4,11,20,40.053348,-75.191112,20.587
19152,20,1,1,0,1,0,"$72,000 - $75,000",23,0,6,1,4,7,4,40.060946,-75.046985,21.11
19147,14,4,0,0,0,1,"$72,000 - $75,000",20,0,2,1,2,7,8,39.935327,-75.152489,18.671
19118,14,1,0,0,0,0,"$75,000 - $100,000",15,0,0,0,0,6,9,40.073872,-75.211217,21.117
19133,1,5,0,0,0,3,"$15,700 - $17,500",9,2,3,2,1,1,0,39.993092,-75.141671,25.103
19140,1,16,0,0,4,7,"$17,500 - $18,000",29,6,9,1,12,1,0,40.012177,-75.145495,24.312
